gsm	title	series_id	source_name_ch1	characteristics_ch1	treatment_protocol_ch1	extract_protocol_ch1	description	supplementary_file	relevant	tissue	cell_type	disease
GSM1274922	liver-rep1	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730053040_R04C02		1	Liver		Healthy
GSM1274923	liver-rep2	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730053047_R04C01		0			
GSM1274924	liver-rep3	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730053048_R02C01		0			
GSM1274925	liver-rep4	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730192002_R06C02		0			
GSM1274926	liver-rep5	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730192032_R06C02		0			
GSM1274927	liver-rep6	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730192034_R02C01		0			
GSM1274928	liver-rep7	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730192053_R03C02		0			
GSM1274929	liver-rep8	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730192057_R02C02		0			
GSM1274930	liver-rep9	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730416009_R03C02		0			
GSM1274931	liver-rep10	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730504010_R01C02		0			
GSM1274932	liver-rep11	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5730504011_R05C01		0			
GSM1274933	liver-rep12	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5771710029_R01C02		0			
GSM1274934	liver-rep13	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5771710040_R05C01		0			
GSM1274935	liver-rep14	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5771710057_R03C01		0			
GSM1274936	liver-rep15	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	5771955009_R03C02		0			
GSM1274937	liver-rep16	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6229017164_R05C02		0			
GSM1274938	liver-rep17	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6229041042_R06C02		0			
GSM1274939	liver-rep18	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6229041080_R01C01		0			
GSM1274940	liver-rep19	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6229041098_R06C01		0			
GSM1274941	liver-rep20	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6229050056_R04C02		0			
GSM1274942	liver-rep21	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6229076096_R02C01		0			
GSM1274943	liver-rep22	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6264496010_R03C02		0			
GSM1274944	liver-rep23	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6264496069_R04C02		0			
GSM1274945	liver-rep24	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6264496080_R01C01		0			
GSM1274946	liver-rep25	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6285609064_R01C02		0			
GSM1274947	liver-rep26	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6285609089_R06C01		0			
GSM1274948	liver-rep27	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6285617002_R01C02		0			
GSM1274949	liver-rep28	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6929671035_R04C01		0			
GSM1274950	liver-rep29	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6929671045_R03C02		0			
GSM1274951	liver-rep30	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6929671057_R01C01		0			
GSM1274952	liver-rep31	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6929671101_R03C02		0			
GSM1274953	liver-rep32	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6929671113_R06C01		0			
GSM1274954	liver-rep33	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6929671136_R01C02		0			
GSM1274955	liver-rep34	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	6929689105_R03C01		0			
GSM1274956	liver-rep35	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7497398128_R04C02		0			
GSM1274957	liver-rep36	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7497398128_R06C02		0			
GSM1274958	liver-rep37	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7512551006_R06C01		0			
GSM1274959	liver-rep38	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7512560008_R01C02		0			
GSM1274960	liver-rep39	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7512560009_R05C02		0			
GSM1274961	liver-rep40	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7512560028_R03C02		0			
GSM1274962	liver-rep41	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7512560053_R06C01		0			
GSM1274963	liver-rep42	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7512560060_R05C02		0			
GSM1274964	liver-rep43	GSE52731	liver	tissue: liver	N/A	genomic DNA was extracted and purified using Qiagen DNeasy Kit according to standard instructions	7512560062_R03C02		0			
